position,x0,y0,x1,y1
0,542.9487179487179,240.82905982905982,528.7358490566038,254.14150943396226
1,542.7378879536255,240.92408089789467,529.0056331245096,254.27624465732632
2,542.9193675239447,240.3037571497974,529.4518445779274,254.09661400673014
3,542.7218088203658,239.48272100608352,530.1282018550471,253.7359405780048
4,542.1778047702894,238.96344945048338,530.4938259512704,253.55315026092492
5,541.8794564456554,238.14672741420097,531.2361534403278,253.25994610210827
6,541.8932072354314,237.21240519713672,532.1693913617246,252.64863098438047
7,541.7305277993993,236.28388368109472,532.4132430365624,252.40051533433916
8,541.5163504634489,236.14073655388236,532.9171272808026,252.108030895221
9,541.6464279672657,235.83770187328807,532.9829685172978,252.08505619156813
10,541.4684186737526,235.39662575793983,533.051904362189,252.0172052328453
11,541.4126686902248,235.38954510059133,533.5120177902787,251.6023453488981
12,541.3499503837922,234.40674674560188,533.7047738983852,251.26396469546376
13,540.9516624797009,233.91304395851935,534.1145050631042,250.9451867898839
14,540.6621141998069,233.00804429519883,534.3598120372452,250.44781063643168
15,540.3916641932307,232.9098884741481,534.6535906193423,250.16382602689418
16,539.9436818289159,232.19824287950692,534.8943148076573,249.80184135216882
17,539.652071461968,231.9994258895834,535.4285039182915,249.42575308916878
18,538.9605432569591,231.69430999662336,535.4911664290988,249.24140179333907
19,538.7809456584938,231.12587556586905,535.7509326399264,248.99224022067
20,538.3706956896453,230.34020864422152,535.9391470061804,248.54440583952274
21,538.1534258993748,229.95801251729495,536.2791558125806,247.96764892010282
22,538.0470969733442,229.97114221578067,536.6056646892226,247.70517483587122
23,537.5876167022449,229.6488477560562,536.5568026006282,247.6331517407957
24,537.2075385667343,229.55332944619278,536.5702995418242,247.52871058764106
25,537.1071792090721,229.34439783426214,536.6819066623432,247.2278191987049
26,536.3208604081314,229.35546142555768,536.9127957320488,246.74702212121971
27,535.7342184927529,229.15201552563207,536.9329004411018,246.40118405508557
28,535.3975959574256,228.69626879496937,537.1873116525552,245.93169615973838
29,535.1580042687766,228.23270612218857,537.4133171551508,245.46425074239914
30,534.8779084314733,228.2273733485143,537.7703519611513,245.03874713128337
31,534.3159815042586,228.51416225853185,537.876826842556,244.92677777142623
32,533.8236580667436,229.29751451104482,538.0142628404022,244.61983276325114
33,532.3811426467817,229.5424845119521,538.1601112088899,244.19739630179552
34,531.8419027726306,229.75292592681225,538.3213310810339,243.69265246921893
35,530.9847464782412,229.65836956369313,538.3062838023361,243.34575657053674
36,530.620325414388,229.8028596689588,538.170458470114,243.32287813027946
37,530.0143662735491,229.86497574978733,538.2045153285404,242.79137249387927
38,529.0913443422099,230.0182281000308,538.3702203103519,242.00361035675505
39,528.3662745337294,230.74868483608103,538.3900571006685,241.8919986425451
40,527.0933604022653,231.00503907471213,538.5354188406616,241.2808756284724
41,526.2536919051114,230.84720493705515,538.4172328154001,240.75420215031693
